id,name,album_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,genre,popularity,total_artist_followers,avg_artist_popularity,artist_ids,niche_genres
0CkARTGv97YSA0TuWRpHGd,"""Boom""",ANTITHESE,"[""MY FIRST STORY""]",0.34,0.978,9,-3.785,1,0.209,5.5e-05,0.0,0.199,0.192,199.918,256000,2016,Rock,29,718506,60.0,"[""6cutt8thPFUICMfxaYerWd""]","[""anime"", ""j-pop"", ""j-rock""]"
3ozivYJGJGq6TSzdy8m64X,"""DEVILS NEVER CRY""(スタッフロール)",デビル メイ クライ 3 オリジナル・サウンドトラック,"[""Capcom Sound Team""]",0.264,0.951,7,-7.356,1,0.146,0.0008939999999999,0.0442,0.127,0.159,149.99,319907,2005,Classical,0,210392,58.0,"[""3w1Q754jb31h5CXQCcnLNL""]","[""japanese vgm"", ""soundtrack""]"
6E1PD5YAT9X859muuvK17q,"""Forbidden""",Coll:set,"[""D'espairsRay""]",0.292,0.957,6,-3.41,0,0.0905,4e-06,1.3e-05,0.153,0.285,187.075,287933,2005,Rock,32,53794,32.0,"[""0HxrabRgphgRhnAVitTCcz""]","[""j-rock"", ""visual kei""]"
0tbW31fQy3PdDrnIYtho5M,"""Here I am""",傲音プログレッシヴ,"[""HIGH and MIGHTY COLOR""]",0.282,0.965,9,-2.435,1,0.0716,0.000146,0.0575,0.0321,0.453,189.851,279773,2006,Rock,13,52190,39.0,"[""68vPeaQOlnY1aA3iBKCEpG""]","[""anime"", ""j-rock"", ""visual kei""]"
64tvaRJLI86Kbu91jNOi15,"""Z"" no Chikai - Movie Version",Dragon Ball Z: Fukkatsu No 'F‘ (Dragon Ball Z: Resurrection 'F‘ - Original Motion Picture Soundtrack),"[""Momoiro Clover Z""]",0.463,0.957,9,-3.455,1,0.0735,0.00907,7.7e-05,0.185,0.552,175.062,225537,2015,Pop,0,228253,49.0,"[""3Zl0EsuYV23OgNw6WqGelN""]","[""anime"", ""j-pop""]"
6KjMvgPBb5r6yJWcMCpuoe,#1f1e33,#1f1e33,"[""Camellia""]",0.169,0.993,11,-1.078,0,0.393,0.000334,8.300000000000001e-05,0.0948,0.0766,182.414,169245,2020,Electronic,30,259982,55.0,"[""4bwIf0yXJf0F9AmOl2J78M""]","[""speedcore"", ""vocaloid""]"
1CNhg5ujtKPPEbpHtN5LVf,#GirlsSpkOut,#GirlsSpkOut,"[""TAEYEON"", ""CHANMINA""]",0.705,0.74,0,-3.859,1,0.0615,0.0697,0.0,0.07,0.66,93.018,211504,2020,Pop,49,4500324,68.5,"[""3qNVuliS40BLgXGxhdBdqu"", ""2vjeuQwzSP5ErC1S41gONX""]","[""j-pop"", ""j-rap"", ""k-ballad"", ""k-pop""]"
52liHauPJajkRFLUWepFpj,'Cause I'm a Liar (Kokichi Oma fan song),'Cause I'm a Liar (Kokichi Oma Fan Song),"[""Mcki Robyns-P""]",0.561,0.359,0,-16.379,1,0.0675,0.163,0.0,0.539,0.52,170.032,283900,2018,Electronic,51,31863,37.0,"[""07OGOPi4udEwdD6TcGSxdj""]","[""vocaloid""]"
1UjjnCobvMWfmaBw6OJopK,(Can't Remember) How We Used To Be,My Own Destruction,"[""ELLEGARDEN""]",0.232,0.979,2,-1.5510000000000002,1,0.114,0.00554,6.400000000000001e-05,0.0872,0.15,190.079,196360,2002,Rock,35,626313,57.0,"[""3cbd5GWGOknxmFAe77MDbk""]","[""j-pop"", ""j-rock"", ""melodic hardcore""]"
0DyJYeHiaHng48hWZE29la,(I'm) Waiting For The Sun,君のように生きれたら,"[""\u5b87\u5b99\u30cd\u30b3\u5b50""]",0.5750000000000001,0.737,11,-8.195,0,0.0311,0.0284,0.202,0.282,0.336,120.041,210733,2019,Rock,46,164331,46.0,"[""3xSs5iXfAy7FPN8cUqBEfm""]","[""j-rock"", ""japanese indie"", ""math rock"", ""shibuya-kei"", ""shoegaze""]"
